,x,y
0,0.0001,0.00020000000000000004
1,0.0,0.00020000000000000004
2,0.0001,0.00035000000000000005
3,0.0001,0.0014500000000000001
4,0.0001,0.0021500000000000004
5,0.0003,0.0056500000000000005
6,0.0003,0.010000000000000002
7,0.0009,0.017650000000000002
8,0.0014,0.024450000000000003
9,0.0012,0.03610000000000001
10,0.0031,0.049600000000000005
11,0.004,0.052300000000000006
12,0.0057,0.056850000000000005
13,0.0093,0.05840000000000001
14,0.012,0.04870000000000001
15,0.0143,0.044250000000000005
16,0.0209,0.03325000000000001
17,0.0248,0.024700000000000003
18,0.0301,0.015500000000000002
19,0.0377,0.009550000000000001
20,0.0423,0.004700000000000001
21,0.0453,0.0027500000000000003
22,0.0568,0.0009000000000000001
23,0.0576,0.00025000000000000006
24,0.0601,0.00010000000000000002
25,0.0603,0.00020000000000000004
26,0.0616,0.00020000000000000004
27,0.065,0.00035000000000000005
28,0.0599,0.0014500000000000001
29,0.0559,0.0021500000000000004
30,0.0529,0.0056500000000000005
31,0.044,0.010000000000000002
32,0.0373,0.017650000000000002
33,0.0329,0.024450000000000003
34,0.0251,0.03610000000000001
35,0.02,0.049600000000000005
36,0.0173,0.052300000000000006
37,0.0102,0.056850000000000005
38,0.01,0.05840000000000001
39,0.0059,0.04870000000000001
40,0.0036,0.044250000000000005
41,0.0032,0.03325000000000001
42,0.0025,0.024700000000000003
43,0.0012,0.015500000000000002
44,0.001,0.009550000000000001
45,0.0012,0.004700000000000001
46,0.0001,0.0027500000000000003
47,0.0,0.0009000000000000001
48,0.0002,0.00025000000000000006
49,0.0002,0.00010000000000000002
